rating_id,rating_tid,rating_member_id,rating_value,rating_ip_address
1,4287,1558,5,83.233.70.12
2,4287,958,5,188.228.43.35
3,4287,6359,5,69.35.163.246
4,4287,7888,5,54.87.97.146
5,4287,7,5,91.125.204.107
6,4287,125,5,77.38.156.66
7,4287,2820,5,99.249.195.215
8,4287,2306,5,88.193.135.245
9,4287,6310,5,75.157.149.158
10,5869,9679,5,66.169.97.70
11,5869,6113,5,74.65.55.196
12,5869,9568,5,58.7.200.210
13,5869,1558,1,83.233.71.27
14,5869,7600,5,24.51.110.134
15,5869,6249,5,108.71.197.158
16,5869,9388,5,86.93.229.17
17,5869,9769,5,92.18.10.232
